idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
136,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,25
137,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,25
138,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,30
139,1,3,1,1,1,5,4,5,4,5,4,5,4,5,3,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,29
140,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,31
141,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,32
142,1,1,1,1,1,5,4,5,4,5,5,4,5,3,5,4,4,4,4,5,4,3,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,31
143,1,2,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,5,29
144,1,1,1,1,1,4,3,4,5,5,5,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,30
145,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,29
146,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,31
147,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,5,29
148,1,3,1,1,1,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,31
149,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,31
150,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,5,4,5,33
151,1,2,1,1,1,5,5,4,4,4,4,5,5,4,4,5,5,4,4,5,5,5,5,4,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,29
152,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,33
153,1,2,1,1,1,5,5,5,5,5,4,5,4,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,4,5,4,5,4,29
154,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,30
155,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,34
156,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,32
157,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,35
158,1,1,1,1,1,5,5,4,4,5,4,5,4,4,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,34
159,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,31
160,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,34
161,1,1,1,1,1,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,32
162,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,32
163,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,5,4,5,32
164,1,3,1,1,1,4,4,5,5,5,4,4,5,4,4,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,4,5,5,34
165,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,33
166,1,5,1,1,1,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,33
167,1,1,1,1,1,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,35
168,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,5,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,35
169,1,2,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,4,35
170,1,1,1,1,1,5,5,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,36
171,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,4,5,5,5,4,5,4,5,4,5,5,4,4,5,5,4,5,5,4,5,4,5,29
172,1,1,1,1,1,5,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,5,4,4,4,5,4,4,4,5,4,5,4,5,4,5,5,5,4,5,4,5,29
173,1,3,1,1,1,5,4,5,5,5,4,4,5,5,4,5,5,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,29
174,1,2,1,1,1,4,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,29
175,1,1,1,1,1,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,29
176,1,1,1,1,1,5,4,5,5,5,4,5,4,4,5,5,4,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,5,5,4,4,5,5,4,4,5,29
177,1,1,1,1,1,4,5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,29
178,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,29
179,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,5,5,4,4,5,4,4,4,5,4,4,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,29
180,1,3,1,1,1,4,3,4,5,4,4,4,5,5,5,5,4,4,3,5,5,4,5,5,3,4,4,5,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,26
181,1,1,1,1,1,4,4,4,4,5,4,2,3,3,3,5,5,5,5,5,3,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,1,24
182,1,1,1,1,1,4,5,3,5,4,5,4,5,4,4,5,3,5,4,4,5,4,5,3,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,3,4,5,30
